State,Source,Official_Unofficial,Total_Ballots_Counted,Vote_for_Highest_Office_President,VEP_Turnout_Rate,VotingEligible_Population_VEP,VotingAge_Population_VAP,_Noncitizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible,State_Abv
United States,,,158835004,,66.4%,239247182,257605088,7.8%,1461074,1962811,616440,3294457,4971025,
Alabama,https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001090,Unofficial,2306587,2297295,62.6%,3683055,3837540,2.3%,25898,50997,10266,67782,,AL
Alaska,https://www.elections.alaska.gov/results/20GENR/index.php,,367000,,69.8%,525568,551117,3.4%,4293,2074,1348,6927,,AK
Arizona,https://results.arizona.vote/#/featured/18/0,,3400000,,65.5%,5189000,5798473,8.9%,38520,76844,7536,93699,,AZ
Arkansas,https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,Unofficial,1212030,1206697,55.5%,2182375,2331171,3.6%,17510,36719,24698,64974,,AR
California,https://electionresults.sos.ca.gov/,Unofficial,16800000,,64.7%,25962648,30783255,15.0%,104730,0,102586,207316,,CA
Colorado,https://results.enr.clarityelections.com/CO/105975/web.264614/#/summary,,3295000,,76.4%,4313054,4595504,5.7%,18905,0,0,18905,,CO
Connecticut,,,1850000,,71.1%,2603327,2839560,7.7%,13268,0,4452,17720,,CT
Delaware,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,Unofficial,507805,502392,70.5%,720531,780822,5.8%,5874,14176,350,15013,,DE
District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,,350000,,64.7%,540685,582065,7.1%,0,0,0,0,,DC
Florida,https://floridaelectionwatch.gov/CountyReportingStatus,,11150000,,71.7%,15551739,17543341,10.1%,91674,205033,4345,223139,,FL
Georgia,https://results.enr.clarityelections.com/GA/105369/web.264614/,,5025000,,68.1%,7383562,8255108,6.6%,50930,416771,20426,329754,,GA
Hawaii,https://elections.hawaii.gov/wp-content/results/histatewide.pdf,Unofficial,579165,573854,57.5%,1007920,1114466,9.1%,5007,0,0,5007,,HI
Idaho,https://www.livevoterturnout.com/Idaho/LiveResults/1/en/Index_113.html,Unofficial,875000,867258,67.7%,1292701,1384683,4.1%,8378,34392,5267,34968,,ID
Illinois,,,6100000,,67.6%,9027082,9832749,7.8%,38464,0,0,38464,,IL
Indiana,https://enr.indianavoters.in.gov/site/index.html,,3070000,,61.4%,5000007,5214546,3.6%,26302,0,0,26302,,IN
Iowa,https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,,1825000,,78.6%,2321131,2439743,3.5%,9216,29137,6652,33933,,IA
Kansas,https://ent.sos.ks.gov/kssos_ent.html,Unofficial,1340000,1333513,64.2%,2087946,2223238,4.9%,9882,16455,5438,25522,,KS
Kentucky,https://results.enr.clarityelections.com/KY/106379/web.264614/#/summary,Unofficial,2150951,2134993,64.9%,3312250,3479257,2.8%,23280,46967,15881,68281,,KY
Louisiana,https://voterportal.sos.la.gov/graphical,Unofficial,2155000,2147395,63.9%,3373932,3557594,2.8%,32267,35025,29321,83304,,LA
Maine,,,860000,,79.2%,1085285,1104489,1.7%,0,0,0,0,,ME
Maryland,https://elections.maryland.gov/county_status_page_root.html,,3050000,,70.7%,4313416,4729400,8.4%,18165,0,0,18165,,MD
Massachusetts,,,3725000,,73.4%,5072901,5566452,8.7%,7772,0,0,7772,,MA
Michigan,https://mielections.us/election/results/2020GEN_CENR.html,Unofficial,5559186,5519348,73.6%,7550147,7870864,3.6%,38183,0,0,38183,,MI
Minnesota,https://electionresults.sos.state.mn.us/20201103,Unofficial,3290000,3278405,79.9%,4118462,4378737,4.1%,9712,100076,7381,79140,,MN
Mississippi,,,1330000,,60.4%,2201950,2279412,1.4%,19244,27294,9866,46032,,MS
Missouri,https://enr.sos.mo.gov/,Unofficial,3050000,3012436,66.3%,4603060,4794796,2.4%,30148,43871,19251,76599,,MO
Montana,https://electionresults.mt.gov/,Unofficial,612055,603635,73.1%,837298,851663,1.2%,3754,0,0,3754,,MT
Nebraska,https://electionresults.nebraska.gov/,Unofficial,948852,935232,68.6%,1383551,1469878,4.8%,5263,14894,958,15455,,NE
Nevada,,,1370000,,63.6%,2153915,2450946,11.6%,12399,0,0,12399,,NV
New Hampshire,https://sos.nh.gov/elections/elections/election-results/2020/general-election/,Unofficial,814092,803833,75.4%,1079434,1115916,3.0%,2635,0,0,2635,,NH
New Jersey,,,4495000,,73.0%,6158999,6952008,11.1%,18099,0,0,18099,,NJ
New Mexico,https://nmresults.azurewebsites.net/Default.aspx,Unofficial,923612,919377,61.0%,1515355,1634037,6.2%,6887,12090,2805,17188,,NM
New York,,,8930000,,65.3%,13670596,15372655,10.5%,42408,0,45192,87600,,NY
North Carolina,https://www.ncsbe.gov/results-data/election-results,,5600000,,72.2%,7759051,8328642,5.7%,33640,80068,14215,97497,,NC
North Dakota,https://results.sos.nd.gov/Default.aspx?map=Cty,Unofficial,365000,357916,64.6%,565143,584610,3.0%,1679,0,0,1679,,ND
Ohio,https://liveresults.ohiosos.gov/,,6100000,,68.9%,8859167,9144626,2.6%,49892,0,0,49892,,OH
Oklahoma,https://www.ok.gov/elections/Election_Info/2020_November_General_Election.html,OFFICIAL,1565000,1560699,55.0%,2845835,3031792,4.3%,27558,41562,1780,55106,,OK
Oregon,https://results.oregonvotes.gov/Default.aspx,Unofficial,2404642,2334666,75.2%,3196425,3405863,5.7%,13795,0,0,13795,,OR
Pennsylvania,https://www.electionreturns.pa.gov/,,6900000,,70.5%,9781976,10186170,3.5%,44148,0,0,44148,,PA
Rhode Island,,,520000,,65.0%,799642,857507,6.4%,2766,0,0,2766,,RI
South Carolina,https://www.enr-scvotes.org/SC/106502/Web02-state.264691/#/?undefined,Unofficial,2532995,2513314,64.5%,3926305,4116633,3.6%,18587,31975,4980,43392,,SC
South Dakota,http://electionresults.sd.gov/Default.aspx,Unofficial,427529,422609,66.0%,648104,675016,2.4%,3867,5989,3201,10781,,SD
Tennessee,https://elections.tn.gov/results.php,Unofficial,3060000,3045401,59.7%,5124867,5391220,3.6%,26107,61253,10842,74926,,TN
Texas,https://results.texas-election.com/races,Unofficial,11300000,11231799,60.2%,18784280,22058260,12.6%,154913,368167,109213,492390,,TX
Utah,https://electionresults.utah.gov/elections/,,1450000,,66.2%,2191487,2343384,6.2%,6287,0,0,6287,,UT
Vermont,https://electionresults.vermont.gov/Index.html#/federal,,370000,,74.0%,499884,511637,2.3%,0,0,0,0,,VT
Virginia,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Presidential.html,Unofficial,4425000,4409913,71.4%,6196071,6727440,6.8%,35743,63111,1860,76732,,VA
Washington,https://results.vote.wa.gov/results/20201103/turnout.html,,4100000,,75.4%,5437844,6070046,9.1%,18777,76672,12222,78536,,WA
West Virginia,,,795000,,57.0%,1394028,1422098,0.9%,6757,6593,4287,15132,,WV
Wisconsin,,,3325000,,76.1%,4368530,4586746,3.2%,23574,42909,21015,71193,,WI
Wyoming,https://sos.wyo.gov/Elections/Docs/2020/2020GeneralResults.aspx,OFFICIAL,278503,276765,64.6%,431364,447915,2.2%,2488,5383,934,6759,,WY
